MassProfiler(10.0.2.200) 12/11/2024 14:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: all features in the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816 of 1816 Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,QC,QC,QC,QC,QC,QC,SampA,SampB,SampC,SampD,SampE,SampF
55,0.838,0.01,30.841,0.039,250.34,0.32,367.1058,0.0003,0.0034993,1.26,-1,3,18,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,198058.2,161475.8,0.001,86328.58,0.001,0.001
56,1.075,0.058,51.685,0.04,413.09,0.32,810.5516,0.0005,0.0033801,1.56,-1,4,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1093551,1341414,2519372,1304311,1466081
57,0.205,0.005,40.765,0.025,330.42,0.2,413.9703,0.0002,0.0033251,1.64,-1,3,10,100,,FALSE,0.001,1549661,0.001,0.001,1688315,0.001,0.001,0.001,0.001,1798395,0.001,0.001
58,1.828,0.051,27.816,0.033,227.63,0.27,290.089,0.0003,0.0032055,1.16,-1,3,23,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,481024.8,284300.5,0.001,135635.3,84044.72,122305
59,0.286,0.012,31.157,0.036,255.57,0.3,283.2645,0.0002,0.0031874,0.46,-1,3,35,100,,FALSE,552256.1,426050.7,361306.7,387126.6,157901.5,156761.1,477101.1,1173116,601227.3,852925.3,431349.4,587211.3
60,1.033,0.05,27.617,0.054,228.62,0.46,229.1563,0.0002,0.0031538,1.08,-1,3,25,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,394217,329563.7,111316.8,193571,100539.7,147464.2
61,2.663,0.03,21.855,0.027,190.51,0.24,111.0093,0.0002,0.0031429,0.84,-1,3,27,100,,FALSE,997984.8,875223.4,917536.3,1007014,0.001,880445.8,550235.6,655772.8,1257292,615177.6,688225.2,1021449
62,2.381,0.019,26.747,0.055,220.64,0.46,243.0634,0.0005,0.0031331,1.11,-1,3,24,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,740918.7,467831.4,117980.6,245134,182308,180243.3
63,1.46,0.063,25.446,0.027,212.15,0.22,199.0732,0.0002,0.003111,1.17,-1,3,22,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,338204.9,193827.9,100607.1,98981.02,0.001,0.001
64,2.376,0.028,28.47,0.047,234.28,0.4,259.1312,0.0007,0.0029767,0.97,-1,3,27,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,807394.4,526960.9,137911,297642.1,232040.2,196776.1
65,0.221,0.01,31.583,0.046,254.03,0.37,497.9445,0.0003,0.0029371,0.79,-1,3,27,100,,FALSE,458849.8,503891.7,379835.9,0.001,139325.2,0.001,726999.6,544363.8,0.001,403700.5,319557.4,0.001
66,1.98,0.051,30.76,0.028,251.13,0.23,315.1212,0.0006,0.0029182,1.15,-1,3,25,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,463849.4,301016.6,132955.1,154245.2,104905.2,153295.2
67,0.223,0.005,30.275,0.083,245.65,0.68,368.9804,0.0002,0.0028686,1.83,-1,2,11,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,533050.1,0.001,0.001,0.001,0.001,0.001
68,0.28,0.004,30.748,0.055,252.35,0.46,279.2332,0.0003,0.0028054,0.82,-1,2,29,100,,FALSE,0.001,20588.44,0.001,0.001,0.001,0.001,132263.7,1068197,893494.8,905450.1,499983.6,943177.9
69,1.053,0.01,26.588,0.023,231.98,0.2,112.9862,0.0002,0.0027886,1.59,-1,2,13,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
70,1.086,0.043,27.952,0.04,230.8,0.34,241.1201,0.0005,0.0027662,1.11,-1,3,24,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,352237.6,295779.4,108690.2,242651,86173.72,129317.4
71,0.489,0.006,26.346,0.056,217.29,0.47,243.0627,0.0003,0.0027597,0.99,-1,3,26,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,331501.5,261805.6,0.001,285513.9,203645.4,333296.4
72,0.211,0.003,24.674,0.066,204.48,0.56,218.9862,0.0001,0.0026244,1.15,-1,2,16,100,,FALSE,945182.8,0.001,993572.2,751565.6,0.001,771119.7,884801.9,0.001,1122843,848657.6,632689.1,0.001
73,0.701,0.029,23.018,0.014,189.92,0.11,232.9244,0.0002,0.0025594,0.9,-1,4,24,100,,FALSE,891422.6,1304312,744515,793582.3,0.001,0.001,879152.8,798128.7,0.001,0.001,0.001,0.001
74,1.022,0.044,27.138,0.047,243.1,0.43,89.0256,0.0001,0.0025504,1.48,-1,2,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,538850.4,0.001,0.001,0.001,0.001,0.001
75,0.523,0.045,47.886,0.137,384.23,1.11,639.4961,0.0004,0.0025168,2.21,-1,4,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4291379,910768.4,1226061,479428.8,1079521
76,0.367,0.007,24.318,0.014,201.86,0.11,212.0356,0.0001,0.0024648,1.3,-1,3,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
77,0.256,0.003,33.715,0.046,273.22,0.38,395.2442,0.0003,0.0023898,0.85,-1,3,33,100,,FALSE,0.001,38400.41,41085.81,37168.48,0.001,35796.38,214425.2,382803.2,319500,493015.2,263616.7,118138.3
78,0.403,0.024,23.017,0.021,189.91,0.17,232.9242,0.0002,0.0023645,0.82,-1,4,24,99.7,,FALSE,0.001,874864.9,791646.4,0.001,0.001,358820.7,0.001,595730,666882.3,643810.9,672848.1,635173.4
79,0.374,0.006,31.581,0.058,261.4,0.48,236.1058,0.0002,0.0023233,1.03,-1,3,28,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,354098.8,144695.1,175096.4,117918.1,0.001,366108.4
80,3.386,0.009,25.597,0.029,209.17,0.24,292.8912,0.0002,0.0023036,1.33,-1,5,15,83.3,,FALSE,1017712,934028.4,880557.9,790224.1,1142682,338751.8,0.001,0.001,0.001,0.001,916033.1,0.001
81,3.339,0.132,23.03,0.013,190.02,0.11,232.9242,0.0002,0.0022975,2.08,-1,5,9,90.2,,FALSE,0.001,2299198,2099269,0.001,2131222,884421.6,0.001,0.001,0.001,0.001,0.001,0.001
82,0.514,0.037,48.39,0.049,387.71,0.4,689.4893,0.0004,0.002244,2.37,-1,5,12,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4222829,822548.9,1064873,545387.9,885084
83,0.202,0.003,42.61,0.069,344.5,0.56,454.9546,0.0002,0.0022307,0.13,-1,2,36,100,,FALSE,303171.2,313318.4,286822,275278.5,217339.2,220933.2,412633.6,365684.3,364847.5,390738.5,331936.2,337563.8
84,1.083,0.058,51.162,0.035,409,0.28,796.5358,0.0004,0.0022242,1.54,-1,4,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,586949.4,892681.9,1595027,1065469,977431.4
85,3.376,0.013,46.062,0.026,366.53,0.2,1033.9886,0.0004,0.0022101,2.12,-1,3,9,80.7,,FALSE,0.001,0.001,782201.1,0.001,1536326,2482310,0.001,535208.8,1038546,0.001,0.001,0.001
86,0.52,0.044,46.978,0.134,376.72,1.08,653.5125,0.0004,0.0021975,2.1,-1,4,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3544276,752535.5,908171.7,529857.6,913836.5
87,3.144,0.117,21.204,0.104,187.87,0.93,94.981,0.0001,0.0021783,2.16,-1,3,8,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,2315793,0.001,0.001,226204,0.001,0.001,0.001
88,2.224,0.06,19.251,0.017,176.03,0.16,73.0303,0.0004,0.0021471,1.67,-1,2,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,251638.1,313829.6,0.001,265914
89,3.205,0.039,21.393,0.068,181.02,0.59,154.9481,0.0002,0.002106,1.77,-1,3,10,96.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
90,0.432,0.073,19.919,0.012,167.88,0.1,160.9358,0.0002,0.0020844,1.41,-1,3,23,82.8,,FALSE,0.001,274924.4,0.001,0.001,640690.3,0.001,308938,363681.8,920082.6,0.001,533088,855990.3
91,2.386,0.03,27.529,0.048,227.07,0.4,245.1156,0.0006,0.0020671,1,-1,3,23,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,489820.8,356201.6,118549.3,0.001,167809.7,170933.9
92,0.776,0.005,46.132,0.095,369.66,0.77,674.4773,0.0004,0.0020522,1.44,-1,6,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,220669,1045753,1011824,1105052,1111171
93,2.899,0.045,32.143,0.063,262.79,0.52,308.0606,0.0009,0.0020267,0.92,-1,3,25,93.7,,FALSE,127111.8,387518.9,381707.7,493202.8,459286.9,117700.5,365292.1,898567.8,586499.5,0.001,427020.6,1012768
