MassProfiler(10.0.2.200) 12/11/2024 14:27:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: all features in the table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816 of 1816 Features,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,QC,QC,QC,QC,QC,QC,SampA,SampB,SampC,SampD,SampE,SampF
790,0.8,0.122,21.1,0.098,177.83,0.84,162.9676,0.0004,0.0000494,2.23,-1,3,10,81.7,,FALSE,0.001,0.001,0.001,48768.52,0.001,26338.86,7442.393,0.001,19482.41,0.001,0.001,0.001
791,0.78,0.003,45.524,0.066,364.91,0.53,660.4613,0.0004,0.0000493,2.56,-1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,56630.77
792,0.815,0.005,44.189,0.045,354.6,0.36,620.4302,0.0007,0.0000492,1.85,-1,2,9,98.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,35704.24,12345.02,30787.24
793,0.701,0.048,51.435,0.044,411.09,0.35,808.5347,0.0006,0.0000489,2.99,-1,2,5,87.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,103708.7,13581.63,0.001
794,0.572,0.018,32.737,0.056,279.05,0.48,151.0269,0.0001,0.0000488,3.52,-1,2,3,88.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,50273.5,0.001,0.001,0.001,0.001
795,0.776,0.11,27.66,0.128,225.33,1.06,322.8937,0.0002,0.0000488,2.99,-1,3,6,84,,FALSE,0.001,0.001,0.001,0.001,104100.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001
796,0.26,0.002,39.058,0.098,314.34,0.8,525.2322,0.0005,0.0000488,2.06,-1,2,8,96.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
797,1.345,0.096,19.366,0.017,160.58,0.15,203.869,0.0005,0.0000487,1.99,-1,5,10,89.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
798,0.9,0.026,36.384,0.024,294.59,0.19,415.281,0.0004,0.0000485,1.95,-1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,30216.38,34837.82,27424,32825.1
799,2.219,0.055,22.861,0.009,189.36,0.08,216.9447,0.0004,0.0000484,2.92,-1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
800,0.712,0.035,33.482,0.04,272.7,0.33,342.2657,0.0002,0.0000483,2.41,-1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,28603.95,36668.05,0.001,0.001,38162.1
801,3.094,0.1,27.466,0.117,223.21,0.96,342.8787,0.0012,0.0000477,1.91,-1,5,12,97.4,,FALSE,0.001,0.001,0.001,0.001,8971.747,0.001,0.001,0.001,0.001,15828.5,36269.32,0.001
802,0.54,0.064,22.539,0.189,200.38,1.7,92.9289,0.0002,0.0000475,2.41,-1,5,8,92.4,,FALSE,0.001,14282.17,18111.88,0.001,7054.51,0.001,0.001,0.001,21201.35,51185.16,0.001,0.001
803,1.821,0.012,37.879,0.043,304.8,0.35,523.2535,0.0004,0.0000473,1.94,-1,2,8,97.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
804,2.438,0.003,40.146,0.017,322.29,0.13,588.2022,0.0012,0.000047,2.23,-1,3,7,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,31930.04,0.001,0.001,0.001,0.001,0.001
805,0.1,0.005,26.106,0.184,229.92,1.64,102.9571,0.0002,0.0000468,3.58,-1,3,5,82.3,,FALSE,0.001,18129.56,0.001,0.001,0.001,127833.6,0.001,0.001,0.001,0.001,30321.06,0.001
806,3.052,0.129,22.952,0.104,192.56,0.89,176.9294,0.0004,0.0000468,3.17,-1,3,5,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,68307.59,0.001,0.001,0.001
807,1.254,0.01,36.813,0.03,297.19,0.24,459.2293,0.0002,0.0000467,2.53,-1,4,5,97.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
808,0.375,0.121,17.454,0.03,142.86,0.25,248.9698,0.001,0.0000463,3.6,-1,2,3,93.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,128641.7
809,0.531,0.048,25.815,0.028,210.02,0.23,326.7599,0.0003,0.0000461,1.1,-1,5,21,97.4,,FALSE,0.001,0.001,4390.941,2873.034,0.001,0.001,0.001,10270.62,15679.45,15416.48,9841.688,0.001
810,2.381,0.004,38.16,0.018,306.7,0.14,550.2191,0.0011,0.000046,2.07,-1,2,8,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,53640.47,0.001,0.001,0.001,0.001,0.001
811,2.624,0.01,24.222,0.189,199.91,1.58,234.8737,0.0009,0.0000459,2.65,-1,9,7,100,,FALSE,0.001,0.001,0.001,0.001,52196.23,72160.37,0.001,0.001,0.001,0.001,0.001,0.001
812,1.675,0.013,22.734,0.019,190.48,0.16,180.0604,0.0003,0.0000458,2.21,-1,2,7,93.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
813,2.627,0.005,24.372,0.007,198.64,0.06,306.8605,0.0005,0.0000456,3.03,-1,9,5,100,,FALSE,0.001,0.001,0.001,0.001,26404.86,70603.06,0.001,0.001,0.001,0.001,0.001,0.001
814,3.411,0.036,22.944,0.014,189.09,0.11,237.9155,0.0004,0.0000455,4.76,-1,4,4,90.1,,FALSE,0.001,0.001,0.001,0.001,176923.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001
815,0.424,0.112,30.691,0.073,251.6,0.6,286.0783,0.0015,0.0000454,3.97,-1,3,4,84.6,,FALSE,0.001,0.001,0.001,0.001,0.001,13836.18,0.001,0.001,45932.05,0.001,0.001,0.001
816,1.094,0.01,24.845,0.047,205.76,0.4,222.0441,0.0001,0.0000454,3.37,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
817,1.259,0.021,28.536,0.029,234.73,0.25,261.1244,0.0002,0.0000454,2.55,-1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
818,1.139,0.011,26.065,0.129,216.5,1.08,213.0887,0.0001,0.0000452,2.91,-1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
819,1.522,0.007,32.798,0.041,267.88,0.34,317.1485,0,0.0000451,5,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
820,2.629,0.011,24.376,0.014,198.59,0.12,309.8593,0.0007,0.0000451,2.73,-1,5,6,100,,FALSE,0.001,0.001,0.001,0.001,28032.55,78767.51,0.001,0.001,0.001,0.001,0.001,0.001
821,0.493,0.012,31.23,0.024,255.56,0.2,299.1618,0.0002,0.0000451,2.28,-1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
822,0.813,0.11,22.721,0.022,189.15,0.18,198.9539,0.0007,0.000045,2.69,-1,3,5,82.4,,FALSE,20206.19,42032.99,68809.23,0.001,0.001,0.001,49386.83,0.001,0.001,0.001,0.001,0.001
823,0.601,,26.584,,231.96,,112.9866,,0.000045,6,-1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
824,0.592,0.197,31.913,0.024,257.32,0.2,456.8432,0.0005,0.0000448,2.32,-1,3,7,82.4,,FALSE,0.001,0.001,0.001,51107.03,0.001,0.001,30216.04,0.001,0.001,0.001,0.001,0.001
825,0.218,0.002,36.914,0.02,295.18,0.16,684.9182,0.0005,0.0000446,3.66,-1,2,3,94.1,,FALSE,0.001,0.001,35356.14,0.001,0.001,0.001,0.001,110776.9,0.001,0.001,0.001,0.001
826,0.348,0.004,29.78,0.056,244.4,0.46,277.1223,0.0001,0.0000446,2.89,-1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
827,0.613,0.048,28.451,0.205,253.71,1.85,92.9288,0.0002,0.0000445,3.08,-1,5,5,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,63634.41,0.001,0.001,0.001,0.001,0.001,0.001
828,0.799,0.004,51.644,0.059,414.47,0.48,648.462,0.0001,0.0000445,1.9,-1,2,9,99,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18761.16,38530.58,0.001,24226.4
829,1.038,0.11,33.562,0.212,272.66,1.74,367.1059,0.0004,0.0000437,2.9,-1,3,5,98.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,91129.95,0.001,0.001,0.001,0.001,0.001
830,0.787,0.006,52.673,0.099,422.42,0.8,676.4932,0.0002,0.0000436,2.25,-1,3,7,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,36607.99,0.001,50605.5,0.001,20762.6
831,0.255,0.004,26.45,0.087,220.91,0.74,195.139,0.0002,0.0000433,2.4,-1,2,6,96.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,28659.69,0.001,0.001,0.001,0.001,29021.76
832,0.522,0.036,32.363,0.16,275.85,1.38,150.8869,0.0002,0.0000431,1.6,-1,5,14,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3832.753
833,0.48,0.018,29.69,0.058,258.52,0.51,116.929,0.0001,0.0000429,3.86,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
834,2.243,0.153,21.846,0.006,190.43,0.06,111.0087,0.0008,0.0000427,5.33,-1,2,2,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
835,0.755,0.005,54.515,0.069,434.98,0.56,920.4871,0.0007,0.0000426,1.78,-1,2,10,92.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,19003.73,27145.65,0.001,24104.05
836,0.548,0.138,29.126,0.057,236.1,0.47,374.8949,0.0004,0.0000423,2.18,-1,3,7,97.2,,FALSE,0.001,48581.04,0.001,26151.42,0.001,0.001,0.001,0.001,0.001,0.001,26475.94,36090.49
837,3.384,0.055,22.929,0.019,188.89,0.16,239.9122,0.0003,0.0000419,3.95,-1,2,4,84.7,,FALSE,6492.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
838,0.748,0.014,38.233,0.022,307.49,0.18,536.2661,0.0002,0.0000416,1.91,-1,2,8,98.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
839,1.472,0.069,23.263,0.018,192.73,0.15,216.9687,0.0003,0.0000415,1.65,-1,3,11,95.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
840,2.072,0.069,26.53,0.03,215.65,0.24,336.8987,0.0007,0.0000414,2.93,-1,3,5,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,49490.02,0.001
841,0.432,0.021,27.907,0.013,226.41,0.11,360.8789,0.0002,0.0000413,4.15,-1,2,3,82.4,,FALSE,0.001,0.001,0.001,0.001,133918.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001
842,0.829,0.005,31.752,0.033,258.54,0.27,340.1077,0.0005,0.0000412,4.89,-1,2,3,99.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
843,0.281,0.005,33.267,0.092,273.24,0.76,279.2333,0.0001,0.0000409,2.05,-1,2,8,99.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,35003.37,19955.24,37315.85,0.001,0.001
844,0.356,0.007,42.796,0.057,342.43,0.46,707.1507,0.0004,0.0000408,2.71,-1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
845,0.964,,22.845,,190.95,,187.0423,,0.0000408,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
846,0.475,0.008,29.187,0.06,238.61,0.5,301.0214,0.0003,0.0000406,1.72,-1,5,10,96.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14373.77
847,3.374,0.059,27.357,0.123,222.46,1.01,336.8999,0.0012,0.0000405,3.02,-1,3,4,87.5,,FALSE,0.001,0.001,0.001,0.001,33870.66,0.001,0.001,0.001,0.001,0.001,0.001,0.001
848,2.272,0.007,39.54,0.052,317.75,0.42,560.245,0.0014,0.0000405,2.18,-1,2,7,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
849,1.673,0.022,26.601,0.036,221.01,0.31,213.1245,0.0002,0.0000403,3.73,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
850,1.078,0.013,36.227,0.002,298.85,0.01,259.0764,0.0001,0.0000403,4.21,-1,2,2,87.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
851,0.564,0.006,23.596,0.084,195.95,0.71,208.9857,0.0006,0.0000401,1.6,-1,3,12,98.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2635.241,0.001,0.001
852,2.08,0.08,26.243,0.022,214.48,0.18,293.9984,0.0007,0.00004,1.62,-1,3,12,82.4,,FALSE,0.001,0.001,14861.56,0.001,13350.83,0.001,40006.44,0.001,0.001,0.001,0.001,0.001
853,2.644,,24.457,,203.56,,203.0672,,0.0000399,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
854,0.478,0.029,19.061,0.016,164.66,0.14,119.0364,0.0001,0.0000397,3.43,-1,2,3,82.4,,FALSE,0.001,0.001,0.001,50059.42,0.001,0.001,80058.66,0.001,0.001,0.001,0.001,0.001
855,2.566,0.062,25.444,0.135,211.05,1.13,217.0836,0.0005,0.0000397,3.48,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
856,1.441,0.02,28.85,0.022,235.82,0.18,301.0422,0.0002,0.0000396,2.88,-1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
857,0.294,0.006,27.982,0.032,232.61,0.27,213.1861,0.0002,0.0000396,2.31,-1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,36770.7,0.001,0.001
858,0.536,0.053,36.18,0.212,323.44,1.91,92.9288,0.0002,0.0000396,1.6,-1,3,16,96.6,,FALSE,0.001,6537.022,6616.094,0.001,0.001,0.001,9452.963,0.001,17872.22,0.001,10969.84,11982.68
859,0.569,0.06,35.252,0.149,315.06,1.35,92.9289,0.0002,0.0000393,1.75,-1,5,11,93.7,,FALSE,0.001,0.001,0.001,0.001,9076.83,14539.38,0.001,0.001,15262.44,32168.91,0.001,0.001
860,2.643,,21.528,,181.26,,165.9839,,0.0000391,6,-1,3,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,190170.6,0.001,0.001,0.001,0.001,0.001,0.001
861,0.818,0.006,34.887,0.031,287.27,0.26,267.0738,0.0001,0.0000389,3.37,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
862,0.775,0.009,49.921,0.059,399.34,0.47,760.4715,0.0006,0.0000388,2.33,-1,3,6,98.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32835.69,37112.96
863,0.566,0.007,46.525,0.067,370.14,0.54,1055.8967,0.0002,0.0000388,3.53,-1,4,3,99,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
864,2.327,0.009,24.424,0.027,206.18,0.23,164.0719,0.0002,0.0000385,3.4,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
865,2.139,0.011,37.217,0.076,299.52,0.62,517.1933,0.0012,0.0000383,2.3,-1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
866,0.863,0.08,22.941,0.019,189.02,0.16,238.9123,0.0001,0.0000379,2.85,-1,2,5,91.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12147.75,0.001,0.001,0.001,0.001
867,0.37,0.028,21.486,0.106,180.51,0.9,170.9972,0.0003,0.0000378,5.61,-1,3,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
868,2.263,0.09,46.827,0.03,372.64,0.24,1038.0283,0.0031,0.0000377,3.83,-1,2,3,88.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
869,0.199,0.003,44.363,0.126,353.67,1.02,888.9153,0.0005,0.0000373,2.29,-1,2,7,91.7,,FALSE,0.001,24745.04,24907.4,0.001,0.001,0.001,0.001,44511.54,0.001,0.001,45926.31,0.001
870,0.754,0.006,26.514,0.192,218.69,1.61,243.0627,0.0001,0.0000372,3.79,-1,3,3,97,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
871,0.79,0.007,31.174,0.044,254.14,0.36,328.1884,0.0002,0.000037,2.34,-1,2,6,99.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
872,0.342,0.004,22.56,0.072,188.46,0.61,188.0024,0.0002,0.000037,2.53,-1,3,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
873,3.11,0.052,32.139,0.02,262.72,0.17,309.0622,0.0004,0.0000369,2.44,-1,2,7,82.4,,FALSE,28957.91,0.001,0.001,16385.1,50294.63,0.001,0.001,0.001,0.001,0.001,0.001,0.001
874,0.912,0.009,24.174,0.019,203.35,0.16,172.0985,0.0001,0.0000368,3.37,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
875,0.209,0.002,36.075,0.024,288.9,0.19,630.9423,0.0005,0.0000367,2.37,-1,2,6,96.8,,FALSE,0.001,0.001,49508.65,0.001,0.001,0.001,30243.88,0.001,0.001,0.001,0.001,25574.68
876,0.611,0.029,24.79,0.194,220.15,1.75,94.9258,0.0001,0.0000366,4.18,-1,3,3,83.3,,FALSE,0.001,0.001,0.001,0.001,118095,0.001,0.001,0.001,0.001,0.001,0.001,0.001
877,3.332,,24.247,,199.13,,258.9208,,0.0000362,6,-1,3,1,80.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
878,2.258,0.033,21.241,0.008,176.82,0.07,195.906,0.0005,0.0000359,3.53,-1,3,3,82,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
879,0.504,0.011,31.662,0.252,282.68,2.28,92.929,0.0002,0.0000358,3.1,-1,5,4,97.4,,FALSE,50073.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
880,0.48,0.08,32.674,0,265.72,0,354.0654,0.0001,0.0000358,4.23,-1,3,2,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,74515.09,0.001,0.001,0.001,0.001,0.001,0.001
881,0.408,0.009,21.41,0.019,181.91,0.16,147.0671,0.0003,0.0000354,3.01,-1,2,4,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
882,1.125,0.015,40.51,0.037,330.58,0.31,340.2249,0.0003,0.0000353,3,-1,2,4,94.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
883,0.514,0.037,50.933,0.089,407.4,0.72,769.4288,0.0008,0.0000352,3.44,-1,5,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,91821.66,0.001,0.001,0.001,23999.9
884,0.526,0.061,28.177,0.142,251.24,1.28,92.9289,0.0002,0.0000352,2.45,-1,5,7,92.8,,FALSE,0.001,0.001,0.001,0.001,34007.93,0.001,0.001,16839.4,0.001,0.001,0.001,51059.94
885,1.155,0.012,50.698,0.094,405.6,0.75,759.5282,0.0009,0.0000349,2.75,-1,2,5,92.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,55650.88,0.001,0.001,37244.64,0.001
886,0.356,0.002,25.528,0.022,210.29,0.19,247.0634,0,0.0000347,3.44,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
887,0.709,0.049,27.916,0.053,226.48,0.43,360.8795,0.0004,0.0000346,2.68,-1,2,5,88.1,,FALSE,0.001,0.001,0.001,0.001,54000.96,0.001,0.001,0.001,31696.15,0.001,28365.44,0.001
888,0.177,0.134,22.715,0.014,189.1,0.12,198.9542,0.0002,0.0000346,2.93,-1,2,4,82.4,,FALSE,0.001,0.001,54708.17,0.001,0.001,0.001,55559.21,0.001,0.001,0.001,45860.06,0.001
889,0.485,0.01,48.571,0.036,389.03,0.29,702.492,0.0005,0.0000346,3.12,-1,3,4,97.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,73081.31,0.001,0.001,0.001,0.001
890,2.229,0.009,35.909,0.023,289.84,0.19,459.1587,0.001,0.0000346,2.55,-1,2,5,96.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
891,3.058,0.107,24.241,0.024,199.12,0.2,257.9249,0.0006,0.0000345,1.73,-1,3,12,80.1,,FALSE,0.001,17332.59,0.001,29365.21,0.001,0.001,0.001,25801.66,0.001,0.001,0.001,0.001
892,3.159,0.122,25.893,0.046,212.37,0.38,270.8805,0.0004,0.0000344,3.12,-1,3,5,90.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
893,2.132,0.019,32.842,0.029,264.92,0.23,455.1048,0.001,0.0000343,2.61,-1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
894,0.255,0.004,45.975,0.075,367.05,0.6,825.213,0.0007,0.0000341,2.04,-1,3,8,85.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,26844.73,0.001,0.001,0.001,0.001
895,0.502,,27.465,,225.51,,268.801,,0.000034,6,-1,5,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
896,1.347,0.004,22.529,0.007,190.31,0.06,160.062,0.0001,0.000034,4.19,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
897,0.748,0.012,32.73,0.06,266.95,0.5,328.2496,0.0002,0.0000338,3.42,-1,2,3,98.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,49560.34
898,0.572,0.009,24.067,0.014,197.94,0.12,250.951,0.0002,0.0000337,2.6,-1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,27582.55,0.001,0.001
899,2.112,0.032,44.719,0.063,357.84,0.51,716.2994,0.0015,0.0000337,1.85,-1,2,9,98,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
900,1.007,,35.284,,292.84,,229.1564,,0.0000335,6,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
901,0.205,0.142,33.195,0.068,266.87,0.55,516.8115,0.0009,0.0000333,1.92,-1,3,9,97,,FALSE,0.001,27477.28,18129.17,0.001,0.001,0.001,29978.11,0.001,0.001,0.001,0.001,0.001
902,0.517,0.041,24.253,0.084,201.49,0.71,208.8457,0.0003,0.0000333,1.33,-1,7,15,88.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,4968.791,9343.016,0.001,0.001,0.001,0.001
903,2.081,0.016,35.548,0.029,287.29,0.23,438.2387,0.0006,0.0000332,2.08,-1,2,7,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
904,1.474,0.082,28.858,0.029,235.88,0.24,301.042,0.0005,0.000033,2.93,-1,2,4,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
905,2.37,0.006,31.534,0.034,255.8,0.28,376.139,0.001,0.000033,2.36,-1,2,6,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
906,2.158,0.016,36.302,0.036,292.42,0.29,495.1856,0.0016,0.000033,3.05,-1,2,4,96.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25361.89,0.001,43958.68
907,1.437,0.027,31.903,0.025,265.31,0.21,217.1198,0.0001,0.0000328,3.42,-1,2,3,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
908,2.632,0.008,24.325,0.012,200.64,0.1,237.8728,0.001,0.0000327,3.08,-1,3,6,96.7,,FALSE,0.001,0.001,0.001,0.001,29567.58,72921.42,0.001,0.001,0.001,0.001,0.001,0.001
909,1.5,0.019,29.831,0.053,252.44,0.46,164.0723,0.0001,0.0000324,2.74,-1,2,5,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
910,3.306,0.059,26.547,0.09,216.26,0.74,318.8873,0.0002,0.0000323,2.41,-1,7,7,81.8,,FALSE,0.001,0.001,0.001,0.001,51176.61,12516.31,0.001,0.001,0.001,21577.61,0.001,0.001
911,0.996,,18.826,,167.74,,89.0257,,0.0000322,6,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
912,2.876,0.009,34.268,0.04,276.89,0.32,436.0105,0.0011,0.0000322,4.19,-1,3,2,82.4,,FALSE,0.001,0.001,0.001,0.001,73350.97,0.001,0.001,0.001,0.001,0.001,0.001,0.001
913,0.524,0.047,30.413,0.118,250.09,0.98,266.8039,0.0004,0.000032,2.08,-1,7,9,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,2209.437,0.001,0.001,0.001,0.001,30825.7,0.001
